#Initial conditions:
#x =  80 (kpc), y =  0 (kpc), z =  0 (kpc), vx =  0 (km/s), vy =  0 (km/s), vz =  80 (km/s),
#positions, velocities and accelerations are relative to a (0,0,0) point
# t(Gyrs), x_sat(kpc), y_sat(Kpc), z_sat(Kpc), x_mw(Kpc), y_mw(Kpc), z_mw(Kpc), vx_sat(Kpc/Gyr), vy_sat(Kpc/Gyr), vz_sat(Kpc/Gyr), vx_mw(Kpc/Gyr), vy_mw(Kpc/Gyr), vz_mw(Kpc/Gyr), ax_sat(Kpc/Gyr2), ay_sat(kpc/Gyrs2), az_sat(Kpc/Gyr2), axmw(Kpc/Gyr2), aymw(Kpc/Gyr2), azmw(Kpc/Gyr2)
-0.591 -28.6696462865 0.0 -10.6908607307 10.2160379217 0.0 -6.91910729873 254.136802298 0.0 -205.254700442 -15.3191405086 0.0 46.2106277324 986.332940806 -0.0 242.770546045 -165.200182199 -0.0 -16.0237467041
-0.592 -28.9232261815 0.0 -10.4859459965 10.23128008 0.0 -6.96524786373 253.153751705 0.0 -205.492304602 -15.1544913144 0.0 46.2265045908 981.076559169 -0.0 233.441173536 -163.768187063 -0.0 -14.7257213909
-0.593 -29.1759537899 0.0 -10.2798761215 10.2463469044 0.0 -7.01156030791 252.17464918 0.0 -205.721582789 -14.9916041345 0.0 46.2400791752 975.790631258 -0.0 224.340271175 -162.342074423 -0.0 -13.4590107553
-0.594 -29.4275754798 0.0 -10.0745028309 10.2612632883 0.0 -7.05772802208 251.202170442 0.0 -205.940985144 -14.8298071656 0.0 46.2534226123 970.483488833 -0.0 215.403691104 -160.921897765 -0.0 -12.2317795743
-0.595 -29.6783581308 0.0 -9.86799415119 10.2760065187 0.0 -7.10406715313 250.233682202 0.0 -206.152390171 -14.6697603389 0.0 46.2645427344 965.154689503 -0.0 206.687239855 -159.508451891 -0.0 -11.034331805
-0.596 -29.9280428442 0.0 -9.66219805061 10.290602809 0.0 -7.15025710755 249.271861063 0.0 -206.354359624 -14.5107902618 0.0 46.2754912759 959.810383701 -0.0 198.127846902 -158.102062913 -0.0 -9.87460016522
-0.597 -30.1769018529 0.0 -9.45528543194 10.3050280992 0.0 -7.19661813569 248.314061435 0.0 -206.548645865 -14.3535562131 0.0 46.2842919347 954.451577704 -0.0 189.779887506 -156.703135325 -0.0 -8.74316633121
-0.598 -30.4246709671 0.0 -9.24910075888 10.3193099214 0.0 -7.24282569142 247.362957908 0.0 -206.733919399 -14.1973839912 0.0 46.2929776086 949.082372171 -0.0 181.581116958 -155.312248205 -0.0 -7.64773309948
-0.599 -30.6716277688 0.0 -9.04181759315 10.3334228672 0.0 -7.2892040909 246.41589669 0.0 -206.911808099 -14.0429317167 0.0 46.2995874009 943.705115482 -0.0 173.584020324 -153.92944593 -0.0 -6.57916088738
-0.6 -30.9175027605 0.0 -8.83527714268 10.3473957848 0.0 -7.33542486622 245.475547677 0.0 -207.081087439 -13.8895250993 0.0 46.3061359304 938.321964595 -0.0 165.726279294 -152.555542 -0.0 -5.54492522754
-0.601 -31.1625788641 0.0 -8.62765541827 10.3612019174 0.0 -7.38181636276 244.539252761 0.0 -207.243260657 -13.7378206327 0.0 46.3106772514 932.936475772 -0.0 158.056791774 -151.190249092 -0.0 -4.53616490563
-0.602 -31.406581266 0.0 -8.42079062137 10.3748714261 0.0 -7.42804622072 243.609674725 0.0 -207.397201023 -13.5871446011 0.0 46.3152082602 927.548892472 -0.0 150.509413206 -149.834597663 -0.0 -3.56013130871
-0.603 -31.6497982136 0.0 -8.21286101622 10.3883762066 0.0 -7.47444677928 242.684154976 0.0 -207.544279484 -13.4381514374 0.0 46.317797514 922.163709623 -0.0 143.121379188 -148.487995384 -0.0 -2.60824004178
-0.604 -31.891949576 0.0 -8.0057020624 10.401747729 0.0 -7.52068181575 241.765347306 0.0 -207.683443781 -13.2901686103 0.0 46.3204247403 916.778948179 -0.0 135.802729521 -147.151673223 -0.0 -1.68752190962
-0.605 -32.1333289082 0.0 -7.79749412866 10.4149565438 0.0 -7.56708762877 240.85059708 0.0 -207.815884943 -13.1438480909 0.0 46.3211725578 911.399017002 -0.0 128.533267122 -145.824758881 -0.0 -0.789666891038
-0.606 -32.3736507701 0.0 -7.59007029251 10.4280354251 0.0 -7.61332416087 239.942549272 0.0 -207.940510315 -12.9985190926 0.0 46.322004074 906.017703741 -0.0 121.119312254 -144.508668371 -0.0 0.0785105879929
-0.607 -32.6132140067 0.0 -7.38161310803 10.440953582 0.0 -7.65973163691 239.038561672 0.0 -208.058123567 -12.8548307542 0.0 46.3210155366 900.636761396 -0.0 113.57083817 -143.202272891 -0.0 0.925048786206
-0.608 -32.8517278935 0.0 -7.17395404538 10.4537450866 0.0 -7.70596619194 238.141275749 0.0 -208.167651992 -12.7121145468 0.0 46.3201539765 895.249411436 -0.0 106.216948177 -141.90715904 -0.0 1.74334390316
-0.609 -33.0894965582 0.0 -6.96527780405 10.4663778111 0.0 -7.75237194487 237.248062849 0.0 -208.270557464 -12.5710164361 0.0 46.3175288488 889.8689533 -0.0 99.4006820128 -140.621963537 -0.0 2.54116637935
-0.61 -33.3262240192 0.0 -6.75741293045 10.4788871195 0.0 -7.79860124964 236.361537843 0.0 -208.366453356 -12.4308706197 0.0 46.3150716437 884.49563516 -0.0 92.9478228675 -139.348429835 -0.0 3.31212394329
-0.611 -33.5622196339 0.0 -6.54854489733 10.4912395523 0.0 -7.84500208815 235.479071579 0.0 -208.456453109 -12.2923195764 0.0 46.3109046009 879.14221336 -0.0 86.7748661846 -138.084980449 -0.0 4.06372777879
-0.612 -33.7971821623 0.0 -6.34050002423 10.5034717587 0.0 -7.89122305884 234.603253416 0.0 -208.540003088 -12.1547006588 0.0 46.3069441882 873.803009025 -0.0 80.7654998733 -136.833502736 -0.0 4.7897908003
-0.613 -34.0314261407 0.0 -6.13146489116 10.5155489537 0.0 -7.93761597653 233.731465561 0.0 -208.617984109 -12.018652571 0.0 46.3013250193 868.488948735 -0.0 74.9384665478 -135.592224036 -0.0 5.49756840036
-0.614 -34.2646450934 0.0 -5.92326405602 10.5275090638 0.0 -7.98382570888 232.866275518 0.0 -208.689880021 -11.8835162108 0.0 46.2959490514 863.192026113 -0.0 69.2303879435 -134.36316357 -0.0 6.18107317273
-0.615 -34.4971586918 0.0 -5.71408513112 10.5393159861 0.0 -8.03020787463 232.005081509 0.0 -208.756444885 -11.7499262438 0.0 46.288962873 857.923409848 -0.0 63.6797232217 -133.144371244 -0.0 6.84731006625
-0.616 -34.7286552565 0.0 -5.50575116625 10.5510089163 0.0 -8.07640363462 231.150428699 0.0 -208.817239468 -11.6172274683 0.0 46.2822544312 852.673810912 -0.0 58.2338230054 -131.937986861 -0.0 7.49048646435
-0.617 -34.9594595492 0.0 -5.29645065218 10.562550441 0.0 -8.1227723835 230.299733887 0.0 -208.872912531 -11.4860502701 0.0 46.2739819001 847.454981306 -0.0 52.934224235 -130.741899378 -0.0 8.11736282045
-0.618 -35.1892547242 0.0 -5.08800534118 10.5739810168 0.0 -8.16895159842 229.455518736 0.0 -208.923107916 -11.3557436695 0.0 46.2660197056 842.256617301 -0.0 47.7317882177 -129.558358615 -0.0 8.72233646954
