     pmw          pmn          x          y          z          vx          vy          vz
     -1.8828      0.1896     -0.8113    -42.5069    -28.8205    -50.6744   -231.6662    228.9445
     -1.8949      0.2029     -1.1931    -40.3368    -27.3492    -49.5612   -216.3685    214.2211
     -1.9176      0.2253     -0.3317    -45.2328    -30.6688    -67.7896   -251.8427    260.0865
     -1.8679      0.2786     -0.9112    -41.9393    -28.4357    -70.3917   -225.8389    218.1443
     -1.9007      0.2625     -1.3097    -39.6741    -26.8999    -60.6309   -218.9179    203.5474
     -1.9248      0.2811     -1.1406    -40.6354    -27.5516    -68.4187   -227.5512    216.3569
     -1.9144      0.2082     -1.3008    -39.7247    -26.9342    -48.8460   -220.5302    208.6681
     -1.9242      0.3131     -0.9617    -41.6519    -28.2409    -79.5021   -231.2302    225.9569
     -1.9037      0.2646     -0.7956    -42.5963    -28.8812    -68.9681   -239.9997    228.0005
     -1.8939      0.2184     -1.7000    -37.4559    -25.3958    -45.0520   -202.6312    185.3949
     -1.9498      0.2197     -1.2151    -40.2121    -27.2647    -54.2857   -224.7874    221.6792
     -1.9190      0.3106     -1.6584    -37.6925    -25.5563    -66.5265   -205.6497    190.1060
     -1.9471      0.2020     -1.1762    -40.4331    -27.4145    -49.7646   -231.0929    220.1735
     -1.9166      0.2815     -1.3770    -39.2914    -26.6404    -65.0315   -214.2483    205.4650
     -1.9290      0.2438     -0.8871    -42.0760    -28.5284    -63.5949   -238.0749    230.6628
     -1.8993      0.2582     -1.1401    -40.6379    -27.5533    -62.6344   -222.7520    213.2049
     -1.9144      0.2292     -0.8592    -42.2349    -28.6361    -60.3351   -235.4935    230.7260
     -1.8976      0.2395     -1.6460    -37.7629    -25.6040    -50.8218   -203.1883    189.3147
     -1.9462      0.2299     -1.1198    -40.7534    -27.6316    -57.7377   -229.2094    224.5637
     -1.9131      0.2288     -1.5495    -38.3115    -25.9760    -50.3327   -208.5553    197.2594
     -1.9400      0.2014     -1.2622    -39.9445    -27.0832    -49.0752   -222.1422    217.7767
     -1.9219      0.1450     -1.2365    -40.0900    -27.1818    -36.3746   -218.3785    219.0768
     -1.9203      0.2283     -0.6470    -43.4410    -29.4539    -64.6016   -237.3639    247.0726
     -1.8854      0.2422     -1.2704    -39.8974    -27.0513    -56.7486   -215.1062    205.4643
     -1.9224      0.1820     -1.1496    -40.5841    -27.5169    -45.5512   -224.4726    220.3901
     -1.9150      0.1385     -1.3286    -39.5671    -26.8273    -33.8119   -212.9068    214.1874
     -1.9260      0.2548     -1.2416    -40.0610    -27.1622    -62.0985   -216.3592    217.5920
     -1.9206      0.2045     -1.5748    -38.1675    -25.8783    -44.6219   -209.7621    197.2890
     -1.9416      0.2318     -1.2992    -39.7339    -26.9404    -55.7197   -219.9261    215.9367
     -1.9241      0.2560     -0.9318    -41.8223    -28.3564    -66.2000   -232.9841    228.9347
     -1.9019      0.2850     -0.8112    -42.5076    -28.8210    -74.2021   -236.0774    228.2697
     -1.8948      0.2143     -1.4569    -38.8377    -26.3328    -47.4452   -212.6516    196.9003
     -1.9341      0.2189     -1.1749    -40.4402    -27.4193    -54.3041   -223.9195    220.9219
     -1.9165      0.2147     -0.8858    -42.0835    -28.5335    -56.9317   -232.3118    232.0206
     -1.8992      0.3216     -1.6546    -37.7136    -25.5706    -68.5040   -203.1521    186.5604
     -1.9468      0.1677     -1.3240    -39.5930    -26.8449    -39.8501   -225.8393    213.5675
     -1.9257      0.2587     -1.0842    -40.9562    -27.7691    -65.1378   -223.8653    224.0765
     -1.9110      0.2054     -0.9690    -41.6105    -28.2128    -52.9849   -230.7585    225.5887
     -1.9041      0.2892     -0.6479    -43.4357    -29.4503    -78.5187   -239.3757    238.5894
     -1.8855      0.2857     -1.0990    -40.8717    -27.7119    -68.8177   -225.3928    209.6035
     -1.9119      0.2333     -0.8265    -42.4203    -28.7619    -61.4410   -238.0072    230.5755
     -1.8957      0.2472     -1.4325    -38.9765    -26.4269    -55.6365   -210.9777    199.0252
     -1.9325      0.2868     -1.2009    -40.2929    -27.3194    -69.1112   -225.5326    215.1922
     -1.9181      0.1570     -1.2391    -40.0757    -27.1721    -38.0880   -222.9779    214.3242
     -1.9204      0.2290     -0.9585    -41.6703    -28.2533    -60.0550   -226.7359    231.0204
     -1.9035      0.3045     -0.8066    -42.5334    -28.8386    -79.3286   -235.1222    229.0364
     -1.8946      0.2334     -0.7378    -42.9246    -29.1037    -62.0966   -239.8889    230.7337
     -1.8906      0.2995     -1.1345    -40.6701    -27.5752    -72.1382   -221.6848    210.5170
     -1.9140      0.1858     -0.8931    -42.0422    -28.5055    -49.0252   -236.0961    229.1916
     -1.8996      0.1681     -1.4231    -39.0294    -26.4628    -38.8160   -208.0760    205.2711
     -1.9319      0.2710     -0.9123    -41.9328    -28.4313    -70.9600   -231.2007    233.3426
     -1.9008      0.2595     -0.7440    -42.8896    -29.0800    -68.9021   -238.9032    231.8667
     -1.8910      0.2465     -0.8147    -42.4879    -28.8077    -64.4948   -234.1235    227.4553
     -1.8950      0.1570     -0.6970    -43.1568    -29.2612    -44.5559   -236.9985    238.5566
     -1.8883      0.2550     -1.1897    -40.3564    -27.3625    -61.7233   -214.3232    212.2873
     -1.9174      0.1305     -0.8884    -42.0691    -28.5237    -36.4189   -233.4017    234.2658
     -1.8993      0.1810     -0.9039    -41.9808    -28.4639    -49.0698   -223.6271    232.7242
     -1.9003      0.2602     -1.4582    -38.8300    -26.3276    -58.7835   -207.6959    200.1552
     -1.9341      0.2087     -0.6278    -43.5501    -29.5279    -59.2282   -246.6026    247.1401
     -1.8843      0.2503     -0.9998    -41.4358    -28.0944    -62.9067   -223.6029    218.9490
     -1.9059      0.2341     -0.9459    -41.7422    -28.3021    -60.0749   -230.7692    224.8548
     -1.9027      0.1760     -0.9465    -41.7387    -28.2997    -46.3536   -228.6161    227.3359
     -1.9028      0.3299     -0.6995    -43.1426    -29.2516    -87.9223   -236.1135    235.1498
     -1.8884      0.2395     -1.2039    -40.2757    -27.3078    -56.1578   -223.8578    205.3352
     -1.9183      0.2330     -0.7603    -42.7969    -29.0172    -63.0375   -238.5836    237.0150
     -1.8919      0.2263     -1.1447    -40.6121    -27.5359    -55.1072   -220.5682    213.3353
     -1.9147      0.3160     -1.2297    -40.1291    -27.2084    -75.0348   -221.2281    210.0128
     -1.9198      0.2371     -1.2931    -39.7685    -26.9639    -55.2631   -223.9396    207.4913
     -1.9238      0.2530     -1.2501    -40.0129    -27.1296    -60.4693   -221.5564    212.8814
     -1.9211      0.2636     -1.2201    -40.1837    -27.2454    -63.1267   -223.3754    212.8009
     -1.9193      0.2516     -1.1589    -40.5316    -27.4813    -61.1678   -225.8448    215.5719
     -1.9155      0.2324     -1.3534    -39.4256    -26.7313    -53.8717   -217.3135    206.4426
     -1.9275      0.2719     -0.9926    -41.4768    -28.1221    -69.0750   -231.4602    225.8573
     -1.9055      0.1932     -0.8755    -42.1423    -28.5733    -51.0752   -234.0119    229.1670
     -1.8986      0.2085     -0.7412    -42.9054    -29.0907    -57.2462   -233.4367    236.9333
     -1.8908      0.3012     -1.0605    -41.0905    -27.8602    -74.0584   -222.9291    215.0856
     -1.9096      0.2484     -1.0846    -40.9537    -27.7674    -60.9039   -229.4205    216.0385
     -1.9110      0.2170     -0.9899    -41.4921    -28.1325    -55.5453   -229.5460    224.4713
     -1.9053      0.1851     -1.2445    -40.0451    -27.1514    -44.7922   -217.3147    213.2942
     -1.9208      0.3150     -1.0481    -41.1613    -27.9082    -78.5841   -226.2452    221.8457
     -1.9088      0.2995     -1.6472    -37.7559    -25.5993    -63.0891   -210.2977    185.4706
     -1.9463      0.3509     -1.0033    -41.4155    -28.0805    -87.3426   -238.5943    222.9267
     -1.9061      0.2959     -1.0946    -40.8965    -27.7287    -71.1960   -232.1190    210.8926
     -1.9116      0.2786     -1.1097    -40.8107    -27.6705    -67.6431   -228.8473    214.1289
     -1.9125      0.2668     -1.0579    -41.1052    -27.8702    -65.9366   -229.6876    218.0601
     -1.9094      0.2137     -0.9234    -41.8698    -28.3886    -55.4752   -232.7815    226.8694
     -1.9014      0.2824     -0.7583    -42.8083    -29.0249    -74.8549   -235.3909    232.5820
     -1.8918      0.2559     -0.8937    -42.0385    -28.5030    -65.3116   -232.8631    222.4177
     -1.8997      0.2681     -0.3965    -44.8644    -30.4190    -76.6506   -250.5298    248.9724
     -1.8714      0.1967     -1.0736    -41.0160    -27.8097    -48.3054   -222.0429    212.7292
     -1.9104      0.2019     -1.0828    -40.9640    -27.7744    -51.1975   -222.8431    222.4245
     -1.9109      0.2001     -1.1203    -40.7508    -27.6299    -50.2304   -221.8397    220.5270
     -1.9132      0.2420     -1.0426    -41.1922    -27.9292    -61.2087   -225.3848    223.1362
     -1.9085      0.1995     -0.6556    -43.3918    -29.4205    -56.0028   -240.7066    241.6388
     -1.8859      0.1768     -1.3506    -39.4415    -26.7421    -41.1951   -209.8086    205.4325
     -1.9274      0.2648     -1.3168    -39.6338    -26.8726    -62.8199   -216.1706    212.1499
     -1.9252      0.2286     -1.0848    -40.9523    -27.7665    -57.0942   -229.1414    221.3350
     -1.9110      0.2091     -0.8367    -42.3629    -28.7229    -56.0415   -233.8354    233.2423
     -1.8963      0.2654     -1.2592    -39.9610    -27.0944    -62.6961   -216.0960    207.8780
     -1.9217      0.2436     -1.0789    -40.9863    -27.7896    -60.5748   -229.0965    220.2917
     -1.9107      0.3192     -1.2495    -40.0162    -27.1318    -75.1076   -221.0322    207.4638
     -1.9211      0.2346     -1.1591    -40.5301    -27.4802    -56.7034   -229.1463    214.3926
     -1.9155      0.2224     -0.9885    -41.4999    -28.1378    -57.1123   -229.4673    225.7426
     -1.9053      0.2585     -0.4210    -44.7253    -30.3247    -74.3554   -248.3694    250.7219
     -1.8728      0.2778     -1.3371    -39.5185    -26.7944    -63.0998   -213.2735    197.1923
     -1.9265      0.3395     -0.5328    -44.0899    -29.8938    -92.9518   -251.7650    243.7187
     -1.8790      0.2513     -1.2100    -40.2411    -27.2843    -58.4217   -223.0913    202.3797
     -1.9186      0.2496     -0.9060    -41.9690    -28.4559    -64.6978   -234.2353    228.6335
     -1.9004      0.2099     -0.9087    -41.9534    -28.4453    -54.6864   -230.9933    226.6771
     -1.9005      0.2328     -1.4871    -38.6657    -26.2162    -52.0236   -208.0708    198.7143
     -1.9360      0.3263     -1.0917    -40.9135    -27.7402    -80.3564   -229.6673    220.2308
     -1.9114      0.2778     -0.8364    -42.3641    -28.7237    -71.5963   -240.5544    226.4296
     -1.8963      0.2298     -0.4280    -44.6858    -30.2979    -66.0851   -249.6754    247.6024
     -1.8731      0.2892     -1.3321    -39.5469    -26.8136    -66.0640   -211.9392    198.1932
     -1.9262      0.2331     -1.4730    -38.7462    -26.2707    -52.1288   -216.5585    200.9005
     -1.9351      0.1889     -0.7900    -42.6282    -28.9028    -52.4435   -238.9233    241.0956
     -1.8936      0.1715     -1.2159    -40.2075    -27.2615    -42.0321   -214.9608    214.1896
     -1.9190      0.2599     -1.3694    -39.3349    -26.6699    -60.7123   -212.7796    208.3913
     -1.9285      0.2016     -0.8020    -42.5601    -28.8566    -54.8922   -239.3116    237.5469
     -1.8943      0.2345     -0.3247    -45.2727    -30.6958    -69.5663   -248.6615    255.0984
     -1.8675      0.2561     -0.9995    -41.4376    -28.0955    -63.5448   -222.9053    214.3984
     -1.9059      0.3186     -0.7977    -42.5843    -28.8730    -82.6854   -237.5697    228.2615
